Customer_ID,Age,Gender,Country,Marital_Status,Language_Preference,Signup_Source,Signup_Date,Last_Login,Total_Logins,Time_Spent_Minutes,Device_Type,Preferred_Browser,Is_Active,Total_Orders,Average_Order_Value,Payment_Method,Last_Purchase_Date,Has_Premium_Membership,Abandoned_Carts,Used_Discount_Code,Campaign_Engagement_Level,Support_Tickets_Raised,Last_Support_Interaction,Customer_Satisfaction_Score,Feedback_Comment_Length,Submitted_Review,Category_Tag_1,Category_Tag_2,Category_Tag_3,Category_Tag_4,Category_Tag_5,Category_Tag_6,Category_Tag_7,Category_Tag_8,Category_Tag_9,Category_Tag_10,Total_Spend
CUST_100000,56,Male,Australia,Married,DE,Email,2019-04-06,2024-01-19,79,1079.65,Mobile,Firefox,FALSE,8,91.96,PayPal,2024-01-11,FALSE,4,FREESHIP,Medium,1,2023-04-01,4.3,93,FALSE,Tag_4,Tag_4,Tag_1,Tag_5,Tag_2,Tag_3,Tag_2,Tag_5,Tag_2,Tag_1,735.68
CUST_100001,69,Female,India,Single,ES,Ad Campaign,2022-11-14,2025-03-13,71,304.19,Desktop,Firefox,TRUE,6,97.91,Bank Transfer,2023-01-11,FALSE,3,SAVE20,High,1,2023-03-20,2.8,162,FALSE,Tag_6,Tag_1,Tag_1,Tag_3,Tag_3,Tag_3,Tag_4,Tag_1,Tag_1,Tag_1,587.46
CUST_100002,46,Prefer Not to Say,USA,Divorced,DE,Email,2019-04-19,2024-05-24,67,99.3,Desktop,Safari,FALSE,9,99.19,Bank Transfer,2025-05-18,FALSE,3,FREESHIP,None,2,2023-02-04,4.5,432,TRUE,Tag_2,Tag_4,Tag_2,Tag_1,Tag_4,Tag_1,Tag_6,Tag_4,Tag_2,Tag_1,892.71
CUST_100003,32,Male,Australia,Married,ZH,Email,2019-11-16,2024-03-05,80,279.87,Mobile,Edge,TRUE,6,70.15,Bank Transfer,2025-02-02,TRUE,3,SAVE20,High,1,2024-06-27,2.2,464,FALSE,Tag_1,Tag_5,Tag_2,Tag_6,Tag_2,Tag_3,Tag_2,Tag_1,Tag_3,Tag_5,420.9
CUST_100004,60,Male,USA,Widowed,ZH,Organic Search,2020-11-26,2023-12-06,75,125.81,Desktop,Safari,TRUE,6,69.92,Credit Card,2023-12-31,FALSE,0,WELCOME10,High,0,2025-01-02,3.3,187,FALSE,Tag_5,Tag_2,nan,Tag_2,nan,Tag_1,Tag_4,Tag_2,Tag_4,Tag_4,419.52
CUST_100005,25,Female,UK,Divorced,DE,Organic Search,2022-06-11,2024-07-31,77,,Mobile,Firefox,FALSE,6,26.91,Bank Transfer,2024-11-25,TRUE,2,None,Medium,0,2025-01-11,2.2,303,TRUE,Tag_6,Tag_2,Tag_2,Tag_5,Tag_1,Tag_1,Tag_4,Tag_6,Tag_4,Tag_1,161.46
CUST_100006,38,Female,Canada,Widowed,DE,Ad Campaign,2022-07-23,2023-01-26,76,236.11,Mobile,Chrome,TRUE,5,90.58,Crypto,2024-09-10,FALSE,2,FREESHIP,None,1,2023-09-09,4.3,39,TRUE,Tag_5,Tag_5,Tag_4,Tag_3,Tag_1,Tag_3,Tag_2,Tag_3,Tag_2,Tag_3,452.9
CUST_100007,56,Prefer Not to Say,India,Single,DE,Ad Campaign,2022-09-26,2025-03-20,74,795.6,Desktop,Firefox,TRUE,5,104.1,Bank Transfer,2024-07-15,FALSE,1,None,Low,0,2023-09-16,2.3,472,TRUE,nan,Tag_3,Tag_4,Tag_2,Tag_3,Tag_2,Tag_4,Tag_3,Tag_2,Tag_5,520.5
CUST_100008,36,Prefer Not to Say,Australia,Widowed,EN,Ad Campaign,2018-11-15,2024-08-11,79,288.63,Tablet,Edge,TRUE,6,109.3,Crypto,2024-10-16,FALSE,4,None,Medium,1,2023-09-29,2.2,315,FALSE,Tag_2,Tag_3,Tag_1,nan,Tag_4,Tag_2,Tag_2,Tag_1,Tag_1,Tag_5,655.8
CUST_100009,40,Female,Canada,Divorced,ZH,Ad Campaign,2022-04-28,2025-03-08,72,72.23,Tablet,Chrome,TRUE,3,57.32,Crypto,2023-05-12,TRUE,2,None,Low,0,2024-07-01,3.2,485,TRUE,Tag_6,Tag_5,Tag_2,Tag_3,Tag_4,Tag_1,Tag_5,Tag_5,Tag_1,Tag_3,171.96
CUST_100010,28,Prefer Not to Say,India,Married,FR,Ad Campaign,2021-12-06,2024-01-07,68,387.42,Tablet,Firefox,TRUE,6,83.39,Credit Card,2023-10-15,FALSE,1,nan,None,3,2023-08-19,3.4,475,TRUE,Tag_5,Tag_3,Tag_4,Tag_3,Tag_4,Tag_3,Tag_2,Tag_5,Tag_3,Tag_5,500.34
CUST_100011,28,Female,India,Married,EN,Email,2018-12-22,2023-02-05,59,107.38,Mobile,Safari,FALSE,9,,Bank Transfer,2024-03-11,TRUE,1,nan,High,1,2023-05-01,1.9,222,TRUE,Tag_3,Tag_2,Tag_4,nan,Tag_4,Tag_3,Tag_4,Tag_6,Tag_1,Tag_1,
CUST_100012,41,Male,India,Divorced,EN,Email,2022-08-22,2024-06-14,79,95.4,Mobile,Edge,TRUE,7,63.5,PayPal,2023-08-23,TRUE,2,SAVE20,Low,3,2024-05-13,1.1,278,TRUE,Tag_3,Tag_4,Tag_1,Tag_1,Tag_2,Tag_3,Tag_5,Tag_2,Tag_2,Tag_3,444.5
CUST_100013,53,Female,Canada,Married,EN,Referral,2019-09-09,2025-02-28,70,149.16,Tablet,Chrome,FALSE,7,110.92,PayPal,2025-04-09,FALSE,0,FREESHIP,Medium,2,2024-11-01,1.8,314,FALSE,Tag_1,Tag_1,Tag_1,Tag_6,Tag_3,Tag_1,Tag_6,Tag_1,Tag_4,Tag_1,776.44
CUST_100014,57,Female,Australia,Widowed,FR,Referral,2018-08-17,2025-04-12,70,3.62,Tablet,Edge,TRUE,9,84.91,Crypto,2023-12-20,TRUE,2,SAVE20,High,1,2024-09-27,4.3,258,TRUE,Tag_2,Tag_2,Tag_1,Tag_2,Tag_4,Tag_2,Tag_2,Tag_6,Tag_4,Tag_1,764.19
CUST_100015,41,Non-Binary,Germany,Married,DE,Social Media,2019-12-30,2025-04-04,74,,Tablet,Firefox,TRUE,7,72.32,Crypto,2024-12-14,FALSE,4,SAVE20,Low,0,2024-04-28,4.5,58,FALSE,Tag_2,Tag_1,Tag_2,Tag_6,Tag_1,Tag_3,Tag_2,Tag_6,Tag_3,Tag_5,506.24
