Id,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,LotFrontage,LotArea,MasVnrArea,CentralAir,Heating,Electrical,Foundation,Exterior1st,Exterior2nd,RoofStyle,SaleCondition,MoSold,YrSold,SalePrice
1,Richmond,Duplex,4.0,5.0,1938,2007,1418.5421099238258,1334.6722731527925,2.0,1.0,,1.0,8.0,1.0,0.0,648.6497780388418,58.50873378751859,9233.50816332756,263.7396217012524,Y,Electric,Mix,BrkTil,Wood,Wood,Cedar,Normal,4.0,2024.0,165523.67038955927
2,Delta,Duplex,7.0,1.0,1919,-9223372036854775808,570.6227871616763,844.6910154636065,1.0,1.0,3.0,1.0,5.0,1.0,4.0,222.43269147729882,58.708039772842696,4528.65280958193,163.98645841772452,Y,HeatPump,FuseF,BrkTil,Vinyl,Vinyl,Cedar,Abnorml,,2021.0,165344.62551358863
3,Burnaby,BasementSuite,4.0,6.0,1981,1970,816.0807976239078,2030.6850800758707,1.0,,4.0,0.0,12.0,0.0,2.0,525.8561044241649,47.24895053241064,14285.55542727986,74.70481697576793,Y,Radiant,FuseA,CBlock,Stucco,Stucco,Asphalt,Abnorml,6.0,2022.0,262609.9866274855
4,Surrey,BasementSuite,5.0,5.0,1932,-9223372036854775808,589.7045904728,625.4108329947715,2.0,0.0,2.0,1.0,5.0,2.0,3.0,300.2459814470841,63.20524058759077,11464.330550025865,,Y,Radiant,SBrkr,PConc,Vinyl,Vinyl,TorchOn,Partial,4.0,2021.0,134246.92055381622
5,Surrey,Detached,6.0,,1957,1994,1052.067733318317,1427.795370715068,3.0,1.0,4.0,0.0,8.0,1.0,1.0,309.4303850897981,70.38298074445453,11317.208253010707,91.71831374374618,Y,Gas,FuseA,Stone,Stucco,Stucco,Asphalt,Normal,9.0,2020.0,167186.5217888507
6,Surrey,Duplex,6.0,7.0,2018,1960,1562.8148001802447,428.6433194933761,4.0,1.0,4.0,0.0,7.0,1.0,3.0,465.515806364543,78.58321418682006,8346.280428388473,216.8679555045814,Y,Electric,FuseA,Stone,Wood,Wood,Asphalt,Partial,9.0,2018.0,184131.8663473168
7,Coquitlam,BasementSuite,7.0,1.0,1945,1997,1181.2208920229646,1205.069754021561,2.0,2.0,3.0,1.0,3.0,0.0,1.0,894.3322631880183,63.06994553427097,8351.734423152968,42.05010926384114,Y,Gas,SBrkr,Slab,Vinyl,Vinyl,Metal,Normal,7.0,2022.0,219196.0366894881
8,Coquitlam,Townhouse,5.0,5.0,2001,2013,1406.3260745529885,400.0,1.0,2.0,4.0,1.0,6.0,2.0,,591.9871400106362,80.70529401052687,9945.867380606931,172.5040923343417,Y,Radiant,Mix,Slab,Wood,Wood,TorchOn,Abnorml,9.0,2022.0,280314.1626229059
9,NewWest,Duplex,6.0,7.0,1939,2004,926.8691335628606,1097.039169640716,3.0,1.0,4.0,1.0,7.0,1.0,3.0,270.60037849124024,82.7347051630161,4957.483678920448,127.79364441290309,Y,Radiant,Mix,Stone,Stucco,Stucco,Metal,Normal,9.0,2021.0,153395.2862651404
10,Coquitlam,Detached,6.0,5.0,1996,1945,1084.0559902766458,1949.164721268113,0.0,1.0,4.0,2.0,6.0,1.0,3.0,693.7703181979105,80.53939797167959,9356.99841344878,0.0,Y,HeatPump,SBrkr,CBlock,Stucco,Stucco,TorchOn,Abnorml,9.0,2024.0,185028.5554747798
11,Delta,Condo,6.0,7.0,1987,1999,620.7467823726645,763.9287891193748,1.0,0.0,3.0,1.0,8.0,1.0,1.0,727.1028031664265,,7804.8709309163605,39.253688331834645,Y,Gas,FuseA,PConc,Stucco,Stucco,Asphalt,Abnorml,7.0,2019.0,148909.54398467726
12,Langley,Townhouse,6.0,4.0,1984,1980,1016.0899250115896,1197.59660859111,2.0,0.0,3.0,1.0,2.0,2.0,,525.5417716383133,52.129286338275136,6440.482061099641,135.52488551373287,Y,Gas,FuseA,BrkTil,Vinyl,Vinyl,Metal,Abnorml,2.0,2022.0,108312.80719502302
